t_us,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp,state,events
136508545,0.000,0.000,0.0000,0.0130,0.0000,0.0005,0.000,32.34,40.0,3,0
136509953,0.000,0.022,0.0000,-0.0343,0.0000,0.0115,0.000,32.34,40.0,3,0
136510551,0.000,0.022,0.0000,0.0633,0.0000,-0.0335,0.000,32.34,40.0,3,0
136511603,0.000,0.000,0.0000,-0.1564,0.0000,0.0313,0.000,32.34,40.0,3,0
136512864,0.000,0.022,0.0000,0.0526,0.0000,0.0148,0.000,32.34,40.0,3,0
136513562,0.000,0.022,0.0000,0.0038,0.0000,-0.0016,0.000,32.34,40.0,3,0
136514867,0.000,0.022,0.0000,0.0175,0.0000,-0.0027,0.000,32.34,40.0,3,0
136515652,0.000,0.022,0.0000,0.0191,0.0000,0.0126,0.000,32.34,40.0,3,0
136516876,0.000,0.000,0.0000,-0.0908,0.0000,0.0071,0.000,32.34,40.0,3,0
136517543,0.000,0.022,0.0000,-0.0114,0.0000,0.0027,0.000,32.34,40.0,3,0
136518547,0.000,0.022,0.0000,-0.0587,0.0000,-0.0302,0.000,32.34,40.0,3,0
136519864,0.000,0.022,0.0000,0.0862,0.0000,0.0027,0.000,32.34,40.0,3,0
136520610,0.000,0.022,0.0000,0.0023,0.0000,0.0214,0.000,32.34,40.0,3,0
136521577,0.000,0.022,0.0000,-0.0298,0.0000,-0.0027,0.000,32.34,40.0,3,0
136522613,0.000,0.000,0.0000,-0.1732,0.0000,0.0049,0.000,32.34,40.0,3,0
136523573,0.000,0.000,0.0000,0.0084,0.0000,-0.0005,0.000,32.34,40.0,3,0
136524892,0.000,0.022,0.0000,0.0267,0.0000,-0.0258,0.000,32.34,40.0,3,0
136525574,0.000,0.022,0.0000,-0.0206,0.0000,-0.0082,0.000,32.34,40.0,3,0
136526649,0.000,0.000,0.0000,-0.0511,0.0000,0.0027,0.000,32.34,40.0,3,0
136527543,0.000,0.022,0.0000,0.0938,0.0000,0.0236,0.000,32.34,40.0,3,0
