t_s,p_cmd_deg,p_act_deg,v_cmd,v_act,t_cmd,t_act,iq,vbus,temp
17.805,200,200.339,0,0.0053,0,-0.1357,-0.018,32.38,38
17.816,200,200.339,0,-0.0328,0,-0.1368,-0.018,32.38,38
17.846,200,200.339,0,-0.0084,0,-0.1093,-0.018,32.38,38
17.857,200,200.339,0,0.0175,0,-0.1478,-0.018,32.38,38
17.867,200,200.339,0,-0.1656,0,-0.1401,-0.018,32.38,38
17.898,200,200.361,0,0.0114,0,-0.1225,-0.018,32.38,38
17.909,200,200.339,0,-0.0984,0,-0.1533,-0.018,32.38,38
17.919,200,200.339,0,-0.0435,0,-0.1544,-0.018,32.38,38
17.94,200,200.339,0,0.0481,0,-0.1368,-0.018,32.38,38
17.943,200,200.339,0,-0.0542,0,-0.1082,-0.018,32.38,38
17.95,200,200.361,0,0.0786,0,-0.1346,-0.018,32.38,38
17.959,200,200.339,0,0.0404,0,-0.1379,-0.018,32.38,38
17.97,200,200.339,0,0.0099,0,-0.1719,-0.018,32.38,38
18,200,200.339,0,-0.0008,0,-0.1401,-0.018,32.38,38
18.011,200,200.339,0,0.0465,0,-0.1445,-0.018,32.38,38
18.021,200,200.339,0,0.0343,0,-0.1423,-0.018,32.38,38
18.052,200,200.339,0,-0.0633,0,-0.1269,-0.018,32.38,38
18.063,200,200.339,0,-0.0862,0,-0.1697,-0.018,32.38,38
18.101,200,200.361,0,0.0938,0,-0.0895,-0.018,32.38,38
18.112,200,200.339,0,-0.0542,0,-0.1368,-0.018,32.38,38
18.122,200,200.339,0,-0.0221,0,-0.1533,-0.018,32.38,38
18.153,200,200.339,0,-0.0145,0,-0.1456,-0.018,32.38,38
18.164,200,200.339,0,-0.0648,0,-0.1159,-0.018,32.38,38
18.174,200,200.339,0,-0.0328,0,-0.1456,-0.018,32.38,38
18.195,200,200.339,0,-0.0526,0,-0.1577,-0.018,32.38,38
18.198,200,200.361,0,0.0359,0,-0.1137,-0.018,32.38,38
18.204,200,200.361,0,0.0481,0,-0.1434,-0.018,32.38,38
18.213,200,200.339,0,-0.1442,0,-0.1137,-0.018,32.2,38
18.224,200,200.339,0,0.0587,0,-0.1005,-0.018,32.2,38
18.265,200,200.339,0,-0.0038,0,-0.117,-0.018,32.2,38
18.276,200,200.339,0,-0.0328,0,-0.1236,-0.018,32.2,38
18.306,200,200.339,0,-0.0114,0,-0.1192,-0.018,32.2,38
18.317,200,200.339,0,0.0725,0,-0.1423,-0.018,32.2,38
18.327,200,200.339,0,-0.013,0,-0.139,-0.018,32.2,38
18.348,200,200.339,0,-0.0481,0,-0.1544,-0.018,32.2,38
18.351,200,200.339,0,-0.0404,0,-0.1555,-0.018,32.2,38
18.357,200,200.339,0,0.0191,0,-0.161,-0.018,32.2,38
18.367,200,200.339,0,0.0664,0,-0.0851,-0.018,32.2,38
18.378,200,200.317,0,-0.0999,0,-0.1236,-0.018,32.2,38
18.398,200,200.317,0,0.0496,0,-0.1302,-0.018,32.2,38
18.401,200,200.317,0,0.0023,0,-0.1236,-0.018,32.2,38
18.407,200,200.317,0,-0.045,0,-0.0983,-0.018,32.2,38
18.418,200,200.317,0,0.0603,0,-0.1621,-0.018,32.2,38
18.428,200,200.317,0,-0.0084,0,-0.0851,-0.018,32.2,38
18.459,200,200.317,0,0.0557,0,-0.1181,-0.018,32.2,38
18.47,200,200.317,0,-0.0298,0,-0.0961,-0.018,32.2,38
18.509,200,200.317,0,-0.045,0,-0.1005,-0.018,32.2,38
18.52,200,200.317,0,0.0755,0,-0.1445,-0.018,32.2,38
18.548,200,200.339,0,0.0313,0,-0.1203,-0.018,32.2,38
18.551,200,200.317,0,-0.0435,0,-0.0599,-0.018,32.2,38
18.553,200,200.317,0,-0.0206,0,-0.1203,-0.018,32.2,38
18.561,200,200.317,0,0.0755,0,-0.1379,-0.018,32.2,38
18.571,200,200.317,0,-0.0206,0,-0.1027,-0.018,32.2,38
18.599,200,200.317,0,-0.0542,0,-0.161,-0.018,32.2,38
18.602,200,200.317,0,0.0801,0,-0.0972,-0.018,32.2,38
18.604,200,200.317,0,0.0328,0,-0.117,-0.018,32.2,38
18.61,200,200.317,0,0.1015,0,-0.1148,-0.018,32.2,38
18.621,200,200.317,0,-0.0511,0,-0.0818,-0.018,32.2,38
18.659,200,200.317,0,-0.0328,0,-0.1522,-0.018,32.2,38
18.67,200,200.317,0,0.0374,0,-0.1148,-0.018,32.2,38
18.71,200,200.317,0,-0.0969,0,-0.0961,-0.018,32.2,38
18.721,200,200.317,0,-0.0481,0,-0.0939,-0.018,32.2,38
18.759,200,200.317,0,0.103,0,-0.0983,-0.018,32.2,38
18.77,200,200.317,0,0.0038,0,-0.1368,-0.018,32.2,38
18.809,200,200.317,0,-0.0694,0,-0.1214,-0.018,32.2,38
18.821,200,200.317,0,-0.0633,0,-0.106,-0.018,32.2,38
18.83,200,200.317,0,0.0343,0,-0.0862,-0.018,32.2,38
18.86,200,200.317,0,0.0267,0,-0.128,-0.018,32.2,38
18.871,200,200.317,0,-0.0313,0,-0.095,-0.018,32.2,38
18.881,200,200.317,0,0.1961,0,-0.1291,-0.018,32.2,38
18.912,200,200.317,0,0.0816,0,-0.0873,-0.018,32.2,38
18.923,200,200.317,0,-0.0877,0,-0.1104,-0.018,32.2,38
18.961,200,200.317,0,-0.0496,0,-0.15,-0.018,32.2,38
18.972,200,200.317,0,-0.0175,0,-0.0544,-0.018,32.2,38
18.982,200,200.317,0,0.074,0,-0.1269,-0.018,32.2,38
19.013,200,200.317,0,-0.0679,0,-0.0873,-0.018,32.2,38
19.024,200,200.317,0,0.1076,0,-0.1126,-0.018,32.2,38
19.034,200,200.317,0,0.0191,0,-0.1071,-0.018,32.2,38
19.064,200,200.317,0,0.0847,0,-0.1225,-0.018,32.2,38
19.076,200,200.317,0,-0.0282,0,-0.1434,-0.018,32.2,38
19.085,200,200.317,0,0.0328,0,-0.1269,-0.018,32.2,38
19.122,200,200.317,0,-0.0084,0,-0.1038,-0.018,32.2,38
19.133,200,200.317,0,0.0755,0,-0.1313,-0.018,32.2,38
19.165,200,200.317,0,0.0847,0,-0.1412,-0.018,32.2,38
19.176,200,200.317,0,0.1396,0,-0.0994,-0.018,32.2,38
19.186,200,200.317,0,-0.0221,0,-0.1192,-0.018,32.2,38
19.206,200,200.317,0,0.1427,0,-0.139,-0.018,32.2,38
19.209,200,200.317,0,-0.0191,0,-0.1016,-0.018,32.2,38
19.216,200,200.317,0,-0.0114,0,-0.0983,-0.018,32.2,38
19.227,200,200.317,0,-0.0587,0,-0.1082,-0.018,32.2,38
19.236,200,200.317,0,0.0648,0,-0.1566,-0.018,32.2,38
19.266,200,200.317,0,0.042,0,-0.1038,-0.018,32.2,38
19.277,200,200.317,0,0.0526,0,-0.1313,-0.018,32.2,38
19.287,200,200.317,0,0.0877,0,-0.1016,-0.018,32.2,38
19.318,200,200.317,0,-0.0969,0,-0.1104,-0.018,32.2,38
19.329,200,200.339,0,0.2281,0,-0.1027,-0.018,32.2,38
